oligo_tag,timepoint,fake,Size_Factor,batch,sample,temp,pseudostage,umap_1,umap_2
reference-42-GAP18-42hpf_P10_E12,42,FALSE,0.885495887099802,GAP18,GAP18,28C,26.1226849769828,-6.37786954000315,5.32745691369009
reference-46-GAP18-46hpf_P2_D12,46,FALSE,0.84112866102382,GAP18,GAP18,28C,34.8032975726427,-4.29262869909129,12.7714008910461
reference-42-GAP18-42hpf_P10_G8,42,FALSE,0.595260283186088,GAP18,GAP18,28C,26.1763020035425,-6.49334996297679,5.43268533776236
reference-46-GAP18-46hpf_P2_E8,46,FALSE,0.879949983840304,GAP18,GAP18,28C,33.3606717595947,-3.99860947683177,12.1054234130187
reference-44-GAP18-44hpf_P2_D4,44,FALSE,0.593411648766256,GAP18,GAP18,28C,32.1477187723923,-5.81504815175853,9.36846681664419
reference-46-GAP18-46hpf_P2_H7,46,FALSE,0.713572886055373,GAP18,GAP18,28C,33.6577210420359,-4.72374194219432,11.6702274901671
reference-42-GAP18-42hpf_P10_B9,42,FALSE,0.71172425163554,GAP18,GAP18,28C,33.5142017339378,-4.46659176900706,12.4056295974059
reference-46-GAP18-46hpf_P2_C11,46,FALSE,0.933560382015449,GAP18,GAP18,28C,33.4391439133085,-3.93699257924876,12.2142939193053
reference-42-GAP18-42hpf_P10_A10,42,FALSE,0.698783810696712,GAP18,GAP18,28C,29.6045474644463,-5.92713301732859,8.43156763146353
reference-40-GAP18-40hpf_P10_H6,40,FALSE,0.770880553070183,GAP18,GAP18,28C,33.432572033507,-4.84209721639476,11.6238865477843
reference-46-GAP18-46hpf_P2_G9,46,FALSE,0.89843632803863,GAP18,GAP18,28C,32.2694952180429,-4.69535821035228,11.1580757720275
reference-44-GAP18-44hpf_P2_B4,44,FALSE,0.628535702743075,GAP18,GAP18,28C,32.0596976386039,-5.72053855016551,9.64819570610953
reference-40-GAP18-40hpf_P10_F3,40,FALSE,0.589714379926591,GAP18,GAP18,28C,29.6402435723161,-6.0487183864387,8.54838605950308
reference-40-GAP18-40hpf_P10_F1,40,FALSE,0.491736755675464,GAP18,GAP18,28C,29.7007449285372,-5.98016493871531,8.66867586205435
reference-46-GAP18-46hpf_P2_A10,46,FALSE,0.828188220084993,GAP18,GAP18,28C,33.7542151066621,-4.33645814016185,12.6071018798156
reference-46-GAP18-46hpf_P2_E9,46,FALSE,0.911376768977458,GAP18,GAP18,28C,37.5455390889237,-2.29490869596324,13.3250021559997
reference-44-GAP18-44hpf_P2_E4,44,FALSE,0.604503455285251,GAP18,GAP18,28C,31.8155898921994,-5.61305134847483,9.78496213982535
reference-46-GAP18-46hpf_P2_C12,46,FALSE,0.597108917605921,GAP18,GAP18,28C,34.8407233497542,-4.39498704030833,12.7798361403747
reference-44-GAP18-44hpf_P2_A3,44,FALSE,0.591563014346423,GAP18,GAP18,28C,32.1392972496132,-4.76212018087229,10.965215168695
reference-40-GAP18-40hpf_P10_D5,40,FALSE,0.69693517627688,GAP18,GAP18,28C,27.193588944351,-6.744408541468,5.7360992057128
reference-44-GAP18-44hpf_P2_F3,44,FALSE,0.504677196614292,GAP18,GAP18,28C,32.0943741853632,-4.88004773214183,10.9727606398864
